% Transportation data by me (E. Hedemalm, I. Panorel, A. Soderberg) when walking, bus and car.
% Internal name of the set.
@relation sensor

% Attributes.
% startTimeSecond,
% accMin, accMax, accAvg, accStdev,
% gyroMin, gyroMax, gyroAvg, gyroStdev,

@attribute startTimeSecond real

@attribute accMin real
@attribute accMax real
@attribute accAvg real
@attribute accStdev real

@attribute gyroMin real
@attribute gyroMax real
@attribute gyroAvg real
@attribute gyroStdev real

% transport, PlaneT(axi) -> Bus, PlaneC, PlaneL -> Plane
@attribute transport {Idle,Bus,Foot,Car,Bike,Train,Tram,Subway,Boat,Plane}

% Hedemalm E., Andreas S., Panorel I., Araujo V., Hedemalm D., Butterfield E., Zouzou, B. Hedemalm, B2. Hedemalm,  Reinhold B.,  K. Wängberg,

% Panorel I.: Idle, Walking, Car

% startTimeSecond, accMin, accMax, accAvg, accStdev, gyroMin, gyroMax, gyroAvg, gyroStdev, transport
% DATA-START Bus data from a trip to the city-center.
% Data by,
@data
1490767183,7.509883,12.411927,9.676259,10.392304,0.019442996,0.051664185,0.030926889,0.0,Train
1490767188,8.283054,10.936616,9.683709,2.0,0.01553586,0.032150127,0.023308787,0.0,Train
1490767193,7.741423,11.517115,9.713498,3.7416575,0.016998736,0.028195605,0.021481905,0.0,Train
1490767198,7.9892564,11.495496,9.702958,5.7445626,0.015378149,0.03645258,0.023326857,0.0,Train
1490767203,8.509204,11.172116,9.726216,3.1622777,0.010255768,0.04015409,0.025860852,0.0,Train
1490767209,7.9056716,11.2327,9.709563,5.0990195,0.0042274557,0.037716847,0.01591005,0.0,Train
1490767214,8.29016,11.771062,9.729115,4.690416,0.0011149362,0.0127292415,0.006154363,0.0,Train
1490767219,8.88558,10.716778,9.725154,0.0,0.002768619,0.018972596,0.009541879,0.0,Train
1490767224,8.182569,11.404285,9.7707,4.2426405,0.002875543,0.046519004,0.03291289,0.0,Train
1490767229,7.9103475,11.205237,9.790721,4.582576,0.033279464,0.049769755,0.039373253,0.0,Train
1490767235,8.856115,10.97202,9.785949,1.4142135,0.031248305,0.041429523,0.036531392,0.0,Train
1490767240,8.29032,11.580957,9.751089,5.0990195,0.030259153,0.03845207,0.035265926,0.0,Train
1490767245,8.122557,11.156743,9.746052,3.6055512,0.029038196,0.039180912,0.034531664,0.0,Train
1490767250,8.760306,10.641482,9.735346,0.0,0.028843151,0.0403678,0.03409266,0.0,Train
1490767255,8.492313,10.770278,9.709956,1.4142135,0.026210358,0.036750153,0.032792516,0.0,Train
1490767261,8.779246,10.668878,9.730707,0.0,0.019464845,0.03846761,0.029627021,0.0,Train
1490767266,8.799183,10.687521,9.724087,0.0,0.02635237,0.04013407,0.031461712,0.0,Train
1490767271,8.848517,10.870462,9.722962,1.4142135,0.030104373,0.037637804,0.03395328,0.0,Train
1490767276,8.914372,10.480981,9.720628,0.0,0.029718343,0.036920883,0.03292281,0.0,Train
1490767281,8.888439,10.78213,9.696433,1.0,0.02393272,0.035111967,0.029129408,0.0,Train
1490767287,8.800191,10.433387,9.728793,0.0,0.024777897,0.037276402,0.03149261,0.0,Train
1490767292,8.653876,10.51346,9.7047825,1.0,0.01656706,0.047722828,0.026273513,0.0,Train
1490767297,8.852052,10.5542755,9.738867,0.0,0.0247383,0.037279952,0.033080146,0.0,Train
1490767302,8.687378,10.643775,9.768627,1.0,0.022602908,0.04076741,0.029791342,0.0,Train
1490767307,9.048622,10.505123,9.766549,0.0,0.016920704,3.7295258,0.3046548,5.477226,Train
1490767313,3.6096556,14.190461,9.846971,15.524175,0.022575717,5.815974,0.77619225,9.110434,Train
1490767318,7.3753457,11.699475,9.713338,6.0,0.03423418,1.1595466,0.34821248,0.0,Train
1490767323,7.5272436,12.781256,9.639588,7.4161983,0.022123635,2.7577074,0.41974452,3.7416575,Train
1490767328,8.316474,10.900459,9.661612,3.4641016,0.008186522,1.5946554,0.36041188,2.0,Train
1490767333,6.6447673,14.865574,9.719071,12.328828,0.028077623,2.4610844,0.5577358,4.358899,Train
1490767338,6.7050543,13.495852,8.695575,8.602325,0.018305428,2.8013818,0.40494323,3.7416575,Train
1490767344,7.6317735,9.717244,8.710762,1.7320508,0.0035340488,0.20406188,0.034263086,0.0,Train
1490767349,7.735741,9.334337,8.700167,0.0,0.004976354,0.13334054,0.030599514,0.0,Train
1490767354,7.801603,9.696259,8.714311,0.0,0.0021144298,0.12038028,0.028513078,0.0,Train
1490767359,7.2383986,10.274568,8.709083,2.6457512,0.005317989,0.13630584,0.036131427,0.0,Train
1490767365,6.8554244,9.772963,8.715251,2.6457512,0.0051626596,0.22160918,0.03709445,0.0,Train
1490767370,7.9414854,9.357213,8.699739,0.0,0.004432041,0.06506465,0.025168678,0.0,Train
1490767375,7.635806,10.355768,8.664922,3.4641016,0.007898822,0.11392568,0.0356058,0.0,Train
1490767380,8.114972,9.777929,8.702727,1.0,0.004372808,0.060488693,0.026994636,0.0,Train
1490767385,8.147689,9.362859,8.710494,0.0,5.1497E-4,0.061930243,0.025487991,0.0,Train
1490767391,7.228703,10.690704,8.712534,6.8556547,0.003801062,0.09070986,0.03599647,0.0,Train
1490767396,8.206035,9.414432,8.7213125,0.0,0.0038006946,0.05808966,0.02289242,0.0,Train
1490767401,7.6470923,9.332316,8.650261,1.0,0.00489819,0.07527115,0.021895241,0.0,Train
1490767406,7.86801,9.746865,8.728808,1.0,0.0011582617,0.0673426,0.025804617,0.0,Train
1490767412,7.9723506,9.365433,8.666706,0.0,0.00270296,0.075619414,0.02355159,0.0,Train
1490767417,8.357726,9.106495,8.7569065,0.0,0.0037753403,0.059746534,0.026291968,0.0,Train
1490767422,7.8884068,9.519708,8.813525,0.0,0.007869172,0.13095047,0.05014824,0.0,Train
1490767427,8.282786,9.3089,8.72516,0.0,0.009297099,0.11759448,0.046256796,0.0,Train
1490767432,7.9441137,9.962133,8.726546,1.7320508,0.007288432,0.2019148,0.055962253,0.0,Train
1490767438,8.387286,9.115154,8.727314,0.0,0.017373068,0.071947955,0.041441675,0.0,Train
1490767443,7.753122,9.959584,8.710463,2.236068,0.014681786,0.18433248,0.060007863,0.0,Train
1490767448,6.9279723,10.991744,8.7368,8.774964,0.0075551504,0.26097995,0.09923788,0.0,Train
1490767453,7.664131,9.392667,8.681865,1.0,0.00270296,0.08549794,0.035044752,0.0,Train
1490767459,7.645326,10.086125,8.712964,2.236068,0.005079733,0.11670493,0.043919094,0.0,Train
1490767464,8.15492,9.365928,8.680258,0.0,0.004391484,0.06216098,0.021914525,0.0,Train
1490767469,8.201911,9.201373,8.682599,0.0,0.0021372656,0.060246836,0.020349253,0.0,Train
1490767474,7.83423,10.468569,8.754958,3.6055512,0.0043804687,0.3684817,0.057609167,0.0,Train
1490767479,7.976991,9.906761,8.890803,1.0,0.009078069,0.19198021,0.0593675,0.0,Train
1490767485,8.299765,9.407828,8.850061,0.0,0.0150410645,0.08053351,0.04781316,0.0,Train
